,title,review
0,난중일기,신랑이 사극 이순신장군을 좋아해서 반복해서 보는데 같이 읽을 수 있을 듯하네요.
1,너무 잘하려고 애쓰지 마라,특정 유명 인물에게 바치는 헌정 시 빼고는 좋았다. 시인의 글이 참 쉽게 읽힌다.
2,초역 소크라테스의 말,소크라테스는 알고 있지만 그의 말이나 사상등은 자세히 알지 못했는데 기대됩니다.
3,신과 나눈 이야기 1,많은것을 토해내는것 같은 마음을 알아 차리는 ˝ 왜 나는 풍요로운 삶에 영혼이 즐거워 할까?여러번 책을 봐도 다르게 다가오는 느낌 맛집을 보는듯 좋은느낌이 있는 책입니다
4,우린 다시 여행하게 될 거야,도서관에서 빌려 읽고 너무 좋아서 소장하고 싶어서 구입했어요
5,설민석의 삼국지 대모험 8,아이와 함께 항상 재미있게 보고 있어요! 8권도 빨리 나와서 좋네요 ^^
6,로마로 가는 길,꿈꾸던 이탈리아 여행 떠나고 싶어요.책이 빨리 왔으면 좋겠어요.
7,우리가 몰랐던 예수,기억에 남는 문장누가복음에서는 예수님의 ‘공동체‘가 우리의 사회적 관습을 뛰어넘는다는 사실을 볼 수있다.예수님의 공동체에서는 인사이더와 아웃사이더가 뒤바뀐다.나의 생각이 아닌 예수님의 시선으로 사랑할 수있기를!!
8,엑시트 EXIT (리커버),간만에 읽은 너무 좋은 책을 읽었습니다.
9,로마로 가는 길,로마의 여행 떠나고 싶어요ㆍ책 기대됩니댜
10,글로스터의 홈가드닝 이야기,이책은 꼬옥 선물용 소장용으류 추천 드립니다 현재 국내 홈가드닝 책 끝판왕 아닐까 싶어요
11,동백전 2,전자책 언제나와요
12,인간실격 무삭제판 1,무삭제판 존버 성공☆
13,채소 바이블,내용이 알차고 재미까지 있는 보석같은 책입니다.
14,나는 구두를 신고 간다,"구두를 꺼내 신고, 아들의 손을 잡고, 가고 싶은 곳을 향해 걸어가는 그녀를 응원한다!"
15,설민석의 삼국지 대모험 8,아이가 기다렸어요!! 방학선물로 서프라이즈 주문입니다!!!
16,아일랜드,우리나라 멋진 섬에서의 캠핑의 모든 것을 알려줍니다.
17,눈부신 디테일의 유령론,"이미지가 신선하고 근사한데, 이 이미지를 쌓아올리는 방식은 마치 '계조를 쌓아 올리듯' 무척이나 치밀하다. 강렬한 이미지, 치밀한 지성, 문학적 야심이 결합한 이 보기 드문 시집은 강성은이나 백은선 시집을 좋아하는 독자들에게는 뜻깊은 선물이 될 듯!"
18,제철 채소와 과일로 만드는 간단 안주 레시피,저자의 요리 아이디어는 빛납니다. 저는 업무로 일본어를 쓰는 사람인데요. 충분히 대체 가능한 한국어가 있음에도 불구하고 번역수준이 너무 엉망입니다. 참고하고 보세요.
19,조선의 머니로드,"돈의 흐름을 안다는 것은 경제와 금융에 대해 알고 있다는 뜻이다. 역사 커뮤니케이터인 저자는 조선시대 돈의 흐름과 함께 국정의 운영, 문관과 무관의 관계, 비슷한 시기 일본이나 중국 등 주변국가와 서양의 역사를 곁들인다."
20,2023 이유진 국어 문학 알고리즘,기본서가 따로 구매가능해서 너무 좋아요!믿고 갑니다! 분철도 깔끔히 왔고 책도 너무 좋아요!!!
21,대한민국 부동산의 미래,부동산을 안전하게 투자하는 방법을 시나리오별로 설명하면서 설명해주고 있다
22,당장 써먹는 틱톡 마케팅,틱톡이 문제가 많다지만 그 중독성만큼은 어쩔 수 없나 봅니다 유투브에서 엄청나게 광고하면서 짧은 영상을 올리면서 독특한 모습을 보여주는 틱톡이 왜 떴는지 이유를 알 수 있을 것 같습니다
23,진보의 미래,“어느 나라에 태어나는가에 따라 삶이 달라진다”어떤 나라를 만들어가야 하는지 진지한 고민과 노력이 필요합니다. 선거 때 로고송이나 틀뿐 정책과 비전이 없고 정쟁만 하는 속빈 정치인들은 모조리 솎아내어 퇴출 하고 미래로 나아갑시다.
