,title,rating,review
0, 탑건: 매버릭 ,10,신고 
1, 조 블랙의 사랑 ,10,내 인생 최고의 영화 여운이 길게 남는다                         
2, 어린 의뢰인 ,10,이런일은 두번다시 일어나지 않았으면 좋겠습니다.                         
3, 사도 ,10,유아인의 아들이 아빠를 보러와서 물한잔 주지 못한다고 슬피 울때 나도 울었다..                         
4, 이상한 나라의 수학자 ,1,유치해… 클리셰 범벅… 그나마 최민식이라 선방했다.                         
5, 탑건: 매버릭 ,10,진짜 너무너무너무너무너무 재밌게봄ㅠ                         
6, 마녀(魔女) Part2. The Other One ,8,"마녀1보다 못하다는 비평(배우, 스토리)이 있어서 혹시나 했는데 재미있었습니다.                         "
7, 헤어질 결심 ,10,여운이 정말 깊게 남습니다한번 더 보고 싶어요                         
8, 탑건: 매버릭 ,10,진짜 꿀잼ㅠㅠㅠ 넘재밌어요                         
9, 탑건: 매버릭 ,10,무슨말을해 굿 아주 재미있게 봤어요                         
10, 탑건: 매버릭 ,10,꼭 보세요-!!!! 정말 잼있습니다.                         
11, 더 킬러: 죽어도 되는 아이 ,10,스토리가 뭐가 필요하나? 이렇게 멋있는데??                         
12, 토르: 러브 앤 썬더 ,10,개재밋는데 이거 재미없다고 한 사람들 그냥 영화 볼줄모르는 사람들임 인터스텔라 재미없다고 하는 사람들 ㅋ 진짜 개재밋는데 왜 그러냐소문듣고안보는 사람들도 개 한심..                         
13, 토르: 러브 앤 썬더 ,6,1.아스가디언즈 오브 갤럭시 기대했었는데...2.딱딱하고 고리타분하게 느껴졌던  신화에서 벗어나 화면을 가득채운 금빛잿빛의 향연 3.그럼에도 라그나로크보다 못한 재미에 진부한 러브스토리와 메시지 4.히피 스타일의 재탕                         
14, 프리! 더 파이널 스트로크 후편 ,7,신고 
15, 키싱 부스 3 ,1,마르코 개빡침 .ㅋㅋㅌㅌ                         
16, 헤어질 결심 ,10,두번 봤는데 볼때마다 내안의 해석이 바뀐다. 나의 영원한 미결사건이 될 영화.                         
17, 군다 ,10,마지막 장면이 압권이다                         
18, 토르: 러브 앤 썬더 ,8,러브가 그 러브가 아니었네:)                         
19, 명탐정 코난: 할로윈의 신부 ,8,코난 팬이라면 좋아할 극장판 영화가 아닌가 싶어요.                         
