,Unnamed: 0,titles,rates,reviews,isit_domestic
0,0,미니언즈2,10, 미니언즈가 귀여운데 알아듣지 못하는 말을 해서 아쉽다. 어린이 조카가 무지 좋아한다.        ,False
1,1,아이언 크로스: 노르망디 상륙작전,10, 전투 액션이 좋네요...스케일이 엄청납니다        ,False
2,2,외계+인 1부,10, 호불호가 있다고 했지만 재밌게 봤어요 2부도 기대 됩니다        ,True
3,3,메기,1,편하고 안전하게만 살아온 사람들만 공감할 수 있는 피해 망상의 영화…        ,True
4,4,헤어질 결심,10," 많은 여운을 남긴 영화, 탕웨이 예뻐요!!        ",True
5,5,외계+인 1부,5,"최동훈이라서 [더] 아쉬운 건 맞는데, 누구였어도 [안] 아쉬운 건 아니지        ",True
6,6,1987,10, 안보신분이 없기를 바랍니다        ,True
7,7,레지던트 이블: 라쿤시티,1,pc범벅 하려고 질을 흑인으로 등장시키고 레온을  호구찐따 남성으로 만든 영화        ,True
8,8,탑건: 매버릭,10, 근 3년간 본 영화 중 최고        ,False
9,9,탑건: 매버릭,10, 최근에 본 영화중에서 최고        ,False
10,10,탑건: 매버릭,10," 영화의 비행, 액션, 예능, 스토리가 완벽함. 솔직히 다크스타랑 f35 f18이 다한영화        ",False
11,11,고고70,10,  ,True
12,12,탑건: 매버릭,10, 진짜 꼭 영화관에서 없어지기전에 보시길 추천합니다... 보고 진짜 여운 지러서 결국 포디엑스 다시예매해서 또 보러갔어요.. 같이 본 친구랑 또다시ㅋㅋㅋㅋ 진짜 강추합니다 역대급 영화에요...        ,False
13,13,외계+인 1부,8,과거 현재 미래김우빈님 오랜만에 영화에서 보니 너무 좋았습니다.배우분들연기 구멍 없이 최근 보기어려운 이야기라 시간 가는줄 모르고 봤네요.        ,True
14,14,탑건: 매버릭,10, 나는 미해군도 아닌데 왜 눈물이나냐…        ,False
15,15,외계+인 1부,6,매력적인세계관과 그걸 받혀주지 못하는 스토리        ,True
16,16,외계+인 1부,8,이해도 낮으신 분들은 이해가 힘들 수도 있겠다 생각했구요 길이가 길어서 집중하는게 좀 힘들긴 했지만 내용이랑 전체적으로 재밌게 봤습니다 평점 호불호 많이 갈리길래 걱정했는데 저는 재밌었어요        ,True
17,17,외계+인 1부,1,이게영화냐 이게 영화야?        ,True
18,18,탑건: 매버릭,9,극장에서 전체적으로 재밋게 보았다. 중간 중간 디테일이 아쉬운부분도 있었으나 이정도면 나름대로 괜찮게 뽑아냈다고 생각한다.        ,False
19,19,탑건: 매버릭,10, 역시. 톰크루즈.  쵝오 영화        ,False
20,20,외계+인 1부,10, 창의적인 스토리와 영상이 일품임. 마블보다 낫다^^        ,True
21,21,봄날은 간다,10, 이 영화는 정말 좋다. 세월과 함께 익어가는 훌륭한 영화        ,True
22,22,그레이 맨,8,극장에서 볼 것을 추천합니다.집에서 봤더만...후회가 되네요ㅠㅠ        ,False
23,23,외계+인 1부,10," 겨우 이 돈 내고 영화를 봐도 되나 싶은 정도의 스케일과 계속계속 나오는 초호화 캐스팅의 배우들 때문에 너무 재밌었어요. 재밌게 보고 나와서 평점 보고 놀랐어요. 악플 알바들도 있는 거예요? 저는 정말 재밌게 봤어요. 최근 본 <매버릭>, <범죄도시2>, <헤어질 결심>까지 다 쳐도 2등 안에 들 것 같아요.        ",True
24,24,더 킬러: 죽어도 되는 아이,10, 진짜 액션좋고 킬링타임용인데..상영관이 왜이리 없냐..그게 아쉬움..장혁버전의 아저씨라보면 됩니다.        ,True
25,25,외계+인 1부,7,아니 적을 물리칠 기미가 안 보여서 과거 회상 나올 때 빨리 화장실 갔다왔는데 갔다오니까 영화가 끝남.. 아 이래서 1부였나 싶은데 이럴 줄 알았으면 화장실 안 갔지 ㅠ 평이 너무 안 좋아서 조금 놀랐다. 개인적으로는 CG랑 액션 때문에 잘 봤는디.. 아니 근데 가드 어떡할거? 아놔…        ,True
26,26,외계+인 1부,10," 액션은 한국맛, 그래픽 및 규모는 헐리우드맛. 나는 내용도 영상도 너무 좋았다. 휙휙 바뀌는 편집점도 매력적        ",True
27,27,마녀(魔女) Part2. The Other One,10,  ,True
28,28,그레이 맨,10,  ,False
29,29,그레이 맨,2,꼬마하나 살리려고 수백명이 죽는영화        ,False
30,30,탑건: 매버릭,10, 안 보면 후회합니다 ㅠ 그냥 보시요 ㄹㅈㄷ임        ,False
31,31,외계+인 1부,8,좀 많이 실험적이기는 했지만 가볍게 보기에 좋았다.        ,True
32,32,헤어질 결심,10, 버릴 장면이 하나도 없었다. 박찬욱의 지독한 미장센.. 천재같다.        ,True
33,33,헤어질 결심,10, 고맙습니다 .완벽합니다.        ,True
34,34,드라이브 마이 카,9,타인을 이해하기 위해서는 오히려 자신의 내면을 정면으로 바라봐야 한다. 가뭄의 단비같은 영화였습니다. ost 너무 좋은데 정식 수입 좀 제발...        ,False
35,35,경아의 딸,10, 몰입도 높아서 정말 집중해서 잘 보고 왔습니다. 있음직한 이야기를 뻔하지 않게 잘 풀어나간 영화네요. 어딘가에 있을 연우씨 계속해서 당당하게 나아가시길 바라요!        ,True
36,36,헤어질 결심,10," 미결로서 당신의 마음에 영원히 기억되고 싶다.안개낀 바다의 라스트 씬은 정말 아름다웠고,눈물이 찔끔 나면서 왠지모를 슬픔이 밀려 드네요. ~  기억될만한 영화.입니다.        ",True
37,37,탑건: 매버릭,9,간만에 영화 다운 영화봤다        ,False
38,38,헤어질 결심,10, 두번 봤는데 두번 다 너무 좋았습니다!        ,True
39,39,꽃다발 같은 사랑을 했다,8,나쁘지 않았던 영화        ,False
40,40,랑종,6,음... 좀 먼가 아쉬운        ,True
41,41,외계+인 1부,8,2022년.현재까지 최고 재밌고.볼만한 영화인것 같음. 연출 스토리 넘 재밌음        ,True
42,42,모가디슈,9,코로나 시기에 좋은 시간        ,True
43,43,외계+인 1부,3,"그다지 재미있지는 않음. 최동훈 감독 특유의 유머가 들어가있어 중간중간 재미있기는 했지만, 전체적으로 감독이 하고 싶은거 다 섞어놓은 느낌. 러닝 타임 길고 각종 장르가 다 섞여 있고 시공간이 뒤죽박죽이라 헷갈림. 부모님은 재밌다고 하셨는데 호불호가 갈리는 듯. 배우들 연기력이 좋아서 그나마 나았음. 특히 김우빈 배우가 매력적으로 나온것 같아 좋았음.        ",True
44,44,외계+인 1부,1,타짜 감독이네요? 네.... 그으래요....        ,True
45,45,헤어질 결심,10, 너무 좋다..세번도 볼 의향 있는 영화        ,True
46,46,외계+인 1부,10," SF + 도사물 + 시간여행 등 어느 나라에서도 시도하지 못할 신박한 소재. 걱정됐던 CG 처리도 깔끔했고, 한국 영화의 수준이 세계적인 수준으로 올라왔다는 것을 느낄 수 있었습니다.다만 스토리 전개에서 예상되는 부분들이 있어 미리 짐작할 수 있었던 부분이 영화 내용 상에서 몰입도가 저해된 요인이었지 않았나 싶습니다.2부도 기대됩니다^^        ",True
47,47,토르: 러브 앤 썬더,1,감독아 마블에서 나와라 어서 ㅠㅠ        ,False
48,48,외계+인 1부,2,타짜감독 맞냐...        ,True
49,49,책상 서랍 속의 동화,10, 아이들 연기가 마음을 울리네요        ,False
50,50,미니언즈2,7,2년동안 개봉 연기된 게 아쉽네. 차기작은 언제 나올려나        ,False
51,51,탑건: 매버릭,10, 꼭 보세요~~~꼭이요        ,False
52,52,엘비스,7,노래가 있으니 최소 평타        ,False
